"Count","Name"
"1","árbol"
"1","vida"
"1","resistencia"
"1","necio"
"1","prudente"
"1","bustos sin seso"
"1","zorra crítica"
"1","necia"
"1","campo"
"1","piedra"
"1","pisar"
"1","tabla"
"1","paloma"
"1","apetito"
"1","bosque"
"1","árboles"
"1","selva"
"1","pisada"
"1","hierbas"
"1","muerta"
"1","esposa"
"1","leona"
"1","crítica disfrazada de cuento"
"1","milagro"
"1","adulación"
"1","servil"
"1","lisonja"
"1","corte"
"1","cortesanos"
"1","cielo"
"1","venganza elegante"
"1","engaño y castigo"
"1","la zorra y la cigüeña"
"1","ironía ilustrada"
"1","crítica social clásica"
"1","cigüeña vengativa"
"1","banquete animal"
"1","hada"
"1","zorra astuta"
"1","hadas"
"1","leche"
"1","lechera"
"1","artimaña"
"1","hombres"
"1","allegoría ilustrada"
"1","ilusión"
"1","fantasía"
"1","huevos"
"1","vicio mortal"
"1","lechón"
"1","estanque"
"1","pescuezo"
"1","parlante"
"1","dulce trampa"
"1","tigre"
"1","muerte por gula"
"1","cangrejo"
"1","peces"
"1","grulla"
"1","vieja"
"1","vida breve"
"1","nuez"
"1","solo"
"1","mona"
"1","candela"
"1","sebo"
"1","presa"
"1","abandonar"
"1","vencer"
"1","verde"
"1","mal"
"1","llama"
"1","carrera"
"1","las moscas"
"1","granja"
"1","liebre"
"1","golosos atrapados"
"1","unidos"
"1","unión"
"1","bujía"
"1","polvo"
"1","mariposa"
"1","anciano"
"1","cesta"
"1","emperador"
"1","mercado"
"1","adivino"
"1","mujer"
"1","perros holgazanes"
"1","trabajo y destino"
"1","el herrero y el perro"
"1","oro"
"1","fruto"
"1","cosas"
"1","cazadores"
"1","belleza"
"1","cornamenta"
"1","cabeza"
"1","jauría"
"1","rico"
"1","diamante"
"1","historia"
"1","perros"
"1","francés"
"1","pintar como querer"
"1","leones sabios"
"1","arte y verdad"
"1","dios"
"1","el león vencido por el hombre"
"1","ironía clásica"
"1","piadoso"
"1","necesitado"
"1","piedad"
"1","crítica simbólica"
"1","representación y poder"
"1","carnero"
"1","tambor"
"1","jabalí"
"1","vida de perros"
"1","perros con nobleza falsa"
"1","desollar"
"1","labrador"
"1","providencia"
"1","castigo"
"1","piel"
"1","pergamino"
"1","astas"
"1","fábulas en verso"
"1","clásicos en español"
"1","escarabajo vengador"
"1","cuentos con moraleja"
"1","justicia poética"
"1","literatura del siglo xviii"
"1","reptil"
"1","reptiles"
"1","lagartos"
"1","cuento con mensaje"
"1","águila"
"1","peras"
"1","fango"
"1","fallo"
"1","ostra"
"1","disputa"
"1","río"
"1","banquete"
"1","el águila y el escarabajo"
"1","boda"
"1","útil"
"1","necesario"
"1","egoísmo"
"1","amo"
"1","egoísta"
"1","espuela"
"1","preso"
"1","ganar"
"1","doctor"
"1","cuernos"
"1","orador"
"1","charlatán"
"1","horca"
"1","filosofia"
"1","sesudo"
"1","monte"
"1","alto"
"1","subir"
"1","cerdo"
"1","leve"
"1","yugo"
"1","ofensa"
"1","pocilga"
"1","ocio"
"1","tiempo"
"1","lecho"
"1","enfermo"
"1","decision"
"1","raposo"
"1","ganso"
"1","costumbre"
"1","maña"
"1","pariente"
"1","moribundo"
"1","culpa"
"1","sangre"
"1","padre"
"1","ave"
"1","crueldad"
"1","pelícano"
"1","padres"
"1","pescador"
"1","esperanza"
"1","pan"
"1","servicio"
"1","servicial"
"1","gallo"
"1","pícaro"
"1","nigromante"
"1","búho"
"1","mago"
"1","lebrel"
"1","matadero"
"1","pantano"
"1","cochinero"
"1","cochina"
"1","viejo"
"1","opulencia y miedo"
"1","comida y filosofía"
"1","vida simple"
"1","opinión"
"1","el ratón de la corte y el del campo"
"1","mundo"
"1","viento"
"1","montaña"
"1","nube"
"1","casar"
"1","sol"
"1","inocencia"
"1","traicion"
"1","voz"
"1","culebra"
"1","ingratitud"
"1","animales"
"1","enano"
"1","temor"
"1","terror"
"1","caverna"
"1","oscuro"
"1","oscuridad"
"1","engaño y venganza"
"1","el enemigo oculto"
"1","El leopardo y las monas"
"1","red"
"1","perdonar"
"1","monos burlones"
"1","apariencias engañan"
"1","cigüeña"
"1","desenlace sangriento"
"1","leopardo astuto"
"1","fábulas con moraleja"
"1","volar"
"1","judaísmo"
"1","treta"
"1","comadreja"
"1","murciélago"
"1","comida"
"1","pajaro"
"1","flecha"
"1","cocinero"
"1","luna"
"1","cubo"
"1","palomas"
"1","tirania"
"1","milano"
"1","niño"
"1","perú"
"1","desdicha"
"1","necedad"
"1","suerte"
"1","muchacho"
"1","reino"
"1","fortuna"
